from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
124,124,,,9273211,9273135,1,
124,124,,,9273212,9273136,1,
124,124,,,9273214,9273138,1,
124,124,,,9273216,9273142,1,
124,124,,,9273218,9273144,1,
124,124,,,9273219,9273146,1,
124,124,,,9273221,9273148,1,
124,124,,,9273222,9273150,1,
124,124,,,9273224,9273152,1,
124,124,,,9273226,9273154,1,
124,124,,,9273228,9273156,1,
124,124,,,9273230,9273158,1,
124,124,,,9273232,9273160,1,
124,124,,,9273234,9273162,1,
124,124,,,9273236,9273164,1,
124,124,,,9273238,9273166,1,
124,124,,,9273242,9273170,1,
124,124,,,9273246,9273174,1,
124,124,,,9273250,9273178,1,
124,124,,,9273252,9273180,1,
124,124,,,9273254,9273182,1,
124,124,,,9273256,9273184,1,
124,124,,,9273258,9273186,1,
124,124,,,9273262,9273190,1,
124,124,,,9273265,9273194,1,
124,124,,,9273268,9273198,1,
124,124,,,9273308,9273198,1,
124,124,,,9273271,9273200,1,
124,124,,,9273273,9273202,1,
124,124,,,9273275,9273204,1,
140,140,,,9273331,9273208,1,
124,124,,,9273278,9273214,1,
124,124,,,9273139,9273215,1,
124,124,,,9273280,9273216,1,
124,124,,,9273143,9273217,1,
124,124,,,9273282,9273219,1,
131,131,,,9273316,9273219,1,
140,140,,,9273329,9273219,1,
124,124,,,9273147,9273220,1,
124,124,,,9273284,9273222,1,
124,124,,,9273151,9273223,1,
124,124,,,9273286,9273226,1,
124,124,,,9273155,9273227,1,
124,124,,,9273288,9273230,1,
131,131,,,9273318,9273230,1,
140,140,,,9273331,9273230,1,
124,124,,,9273159,9273231,1,
124,124,,,9273290,9273234,1,
124,124,,,9273163,9273235,1,
124,124,,,9273292,9273238,1,
124,124,,,9273167,9273239,1,
124,124,,,9273169,9273241,1,
124,124,,,9273294,9273242,1,
131,131,,,9273320,9273242,1,
140,140,,,9273333,9273242,1,
124,124,,,9273171,9273243,1,
124,124,,,9273173,9273245,1,
124,124,,,9273296,9273246,1,
124,124,,,9273175,9273247,1,
124,124,,,9273177,9273249,1,
124,124,,,9273298,9273250,1,
124,124,,,9273179,9273251,1,
124,124,,,9273181,9273253,1,
124,124,,,9273300,9273254,1,
131,131,,,9273322,9273254,1,
140,140,,,9273335,9273254,1,
124,124,,,9273183,9273255,1,
124,124,,,9273185,9273257,1,
124,124,,,9273302,9273258,1,
124,124,,,9273187,9273259,1,
124,124,,,9273189,9273261,1,
124,124,,,9273304,9273262,1,
124,124,,,9273191,9273263,1,
124,124,,,9273193,9273264,1,
124,124,,,9273306,9273265,1,
131,131,,,9273323,9273265,1,
140,140,,,9273337,9273265,1,
124,124,,,9273195,9273266,1,
124,124,,,9273308,9273268,1,
124,124,,,9273199,9273269,1,
124,124,,,9273310,9273271,1,
124,124,,,9273201,9273272,1,
124,124,,,9273312,9273273,1,
140,140,,,9273339,9273273,1,
124,124,,,9273205,9273274,1,
131,131,,,9273326,9273274,1,
124,124,,,9273213,9273277,1,
124,124,,,9273215,9273279,1,
124,124,,,9273217,9273281,1,
124,124,,,9273220,9273283,1,
124,124,,,9273223,9273285,1,
124,124,,,9273227,9273287,1,
124,124,,,9273231,9273289,1,
124,124,,,9273235,9273291,1,
124,124,,,9273239,9273293,1,
124,124,,,9273243,9273295,1,
124,124,,,9273247,9273297,1,
124,124,,,9273251,9273299,1,
124,124,,,9273255,9273301,1,
124,124,,,9273259,9273303,1,
124,124,,,9273263,9273305,1,
124,124,,,9273266,9273307,1,
124,124,,,9273269,9273309,1,
124,124,,,9273275,9273313,1,
131,131,,,9273217,9273315,1,
131,131,,,9273227,9273317,1,
131,131,,,9273239,9273319,1,
131,131,,,9273251,9273321,1,
131,131,,,9273266,9273324,1,
140,140,,,9273215,9273328,1,
140,140,,,9273223,9273330,1,
140,140,,,9273235,9273332,1,
140,140,,,9273247,9273334,1,
140,140,,,9273251,9273336,1,
140,140,,,9273259,9273336,1,
140,140,,,9273269,9273338,1,
27,27,,,9273442,9273367,1,
33,33,,,9273442,9273367,1,
27,27,,,9273445,9273372,1,
33,33,,,9273445,9273372,1,
27,27,,,9273447,9273376,1,
33,33,,,9273447,9273376,1,
27,27,,,9273449,9273380,1,
33,33,,,9273449,9273380,1,
27,27,,,9273451,9273384,1,
33,33,,,9273451,9273384,1,
27,27,,,9273454,9273388,1,
33,33,,,9273454,9273388,1,
27,27,,,9273457,9273392,1,
33,33,,,9273457,9273392,1,
27,27,,,9273459,9273396,1,
33,33,,,9273459,9273396,1,
27,27,,,9273461,9273400,1,
33,33,,,9273461,9273400,1,
27,27,,,9273463,9273404,1,
33,33,,,9273463,9273404,1,
27,27,,,9273466,9273408,1,
33,33,,,9273466,9273408,1,
27,27,,,9273470,9273412,1,
33,33,,,9273470,9273412,1,
27,27,,,9273473,9273416,1,
33,33,,,9273473,9273416,1,
27,27,,,9273475,9273420,1,
33,33,,,9273475,9273420,1,
27,27,,,9273477,9273424,1,
33,33,,,9273477,9273424,1,
27,27,,,9273479,9273428,1,
33,33,,,9273479,9273428,1,
27,27,,,9273481,9273432,1,
33,33,,,9273481,9273432,1,
18,18,,,9273483,9273435,1,
27,27,,,9273483,9273435,1,
33,33,,,9273483,9273435,1,
33,33,,,9273366,9273441,1,
27,27,,,9273369,9273443,1,
33,33,,,9273369,9273443,1,
27,27,,,9273371,9273444,1,
33,33,,,9273371,9273444,1,
27,27,,,9273375,9273446,1,
33,33,,,9273375,9273446,1,
27,27,,,9273379,9273448,1,
33,33,,,9273379,9273448,1,
27,27,,,9273383,9273450,1,
33,33,,,9273383,9273450,1,
27,27,,,9273387,9273453,1,
33,33,,,9273387,9273453,1,
27,27,,,9273391,9273456,1,
33,33,,,9273391,9273456,1,
27,27,,,9273395,9273458,1,
33,33,,,9273395,9273458,1,
27,27,,,9273399,9273460,1,
33,33,,,9273399,9273460,1,
27,27,,,9273403,9273462,1,
33,33,,,9273403,9273462,1,
27,27,,,9273405,9273464,1,
33,33,,,9273405,9273464,1,
27,27,,,9273407,9273465,1,
33,33,,,9273407,9273465,1,
27,27,,,9273409,9273467,1,
33,33,,,9273409,9273467,1,
27,27,,,9273411,9273469,1,
33,33,,,9273411,9273469,1,
27,27,,,9273413,9273471,1,
33,33,,,9273413,9273471,1,
27,27,,,9273415,9273472,1,
33,33,,,9273415,9273472,1,
27,27,,,9273419,9273474,1,
33,33,,,9273419,9273474,1,
27,27,,,9273423,9273476,1,
33,33,,,9273423,9273476,1,
27,27,,,9273427,9273478,1,
33,33,,,9273427,9273478,1,
27,27,,,9273431,9273480,1,
33,33,,,9273431,9273480,1,
18,18,,,9273434,9273482,1,
27,27,,,9273434,9273482,1,
33,33,,,9273434,9273482,1,
33,33,,,9273435,9273484,1,
18,18,,,9273437,9273485,1,
27,27,,,9273437,9273485,1,
33,33,,,9273437,9273485,1,
33,33,,,9273438,9273486,1,
74,74,,,9273561,9273519,1,
74,74,,,9273563,9273521,1,
74,74,,,9273565,9273523,1,
74,74,,,9273567,9273525,1,
74,74,,,9273573,9273529,1,
74,74,,,9273607,9273557,1,
94,94,,,9273613,9273565,1,
74,74,,,9273524,9273566,1,
94,94,,,9273612,9273566,1,
74,74,,,9273526,9273568,1,
94,94,,,9273615,9273570,1,
74,74,,,9273528,9273571,1,
94,94,,,9273614,9273571,1,
74,74,,,9273530,9273574,1,
94,94,,,9273617,9273576,1,
74,74,,,9273532,9273577,1,
94,94,,,9273616,9273577,1,
74,74,,,9273534,9273580,1,
74,74,,,9273536,9273582,1,
94,94,,,9273618,9273582,1,
74,74,,,9273538,9273584,1,
94,94,,,9273620,9273586,1,
74,74,,,9273558,9273608,1,
94,94,,,9273607,9273629,1,
124,124,,,9273861,9273797,1,
124,124,,,9273862,9273798,1,
124,124,,,9273864,9273800,1,
124,124,,,9273866,9273802,1,
124,124,,,9273868,9273804,1,
124,124,,,9273871,9273806,1,
124,124,,,9273874,9273808,1,
124,124,,,9273876,9273810,1,
124,124,,,9273878,9273812,1,
124,124,,,9273880,9273814,1,
124,124,,,9273882,9273816,1,
124,124,,,9273884,9273818,1,
124,124,,,9273886,9273820,1,
124,124,,,9273890,9273824,1,
124,124,,,9273894,9273828,1,
124,124,,,9273898,9273832,1,
124,124,,,9273900,9273834,1,
124,124,,,9273902,9273836,1,
124,124,,,9273904,9273838,1,
124,124,,,9273906,9273840,1,
124,124,,,9273910,9273844,1,
124,124,,,9273914,9273848,1,
124,124,,,9273917,9273850,1,
124,124,,,9273957,9273850,1,
124,124,,,9273920,9273852,1,
124,124,,,9273922,9273854,1,
124,124,,,9273924,9273855,1,
140,140,,,9273980,9273858,1,
124,124,,,9273927,9273864,1,
124,124,,,9273801,9273865,1,
124,124,,,9273929,9273866,1,
124,124,,,9273803,9273867,1,
124,124,,,9273931,9273868,1,
131,131,,,9273965,9273868,1,
140,140,,,9273978,9273868,1,
124,124,,,9273805,9273869,1,
124,124,,,9273933,9273871,1,
124,124,,,9273807,9273872,1,
124,124,,,9273935,9273874,1,
124,124,,,9273809,9273875,1,
124,124,,,9273937,9273878,1,
131,131,,,9273967,9273878,1,
140,140,,,9273980,9273878,1,
124,124,,,9273813,9273879,1,
124,124,,,9273939,9273882,1,
124,124,,,9273817,9273883,1,
124,124,,,9273941,9273886,1,
124,124,,,9273821,9273887,1,
124,124,,,9273823,9273889,1,
124,124,,,9273943,9273890,1,
131,131,,,9273969,9273890,1,
140,140,,,9273982,9273890,1,
124,124,,,9273825,9273891,1,
124,124,,,9273827,9273893,1,
124,124,,,9273945,9273894,1,
124,124,,,9273829,9273895,1,
124,124,,,9273831,9273897,1,
124,124,,,9273947,9273898,1,
124,124,,,9273833,9273899,1,
124,124,,,9273835,9273901,1,
124,124,,,9273949,9273902,1,
131,131,,,9273971,9273902,1,
140,140,,,9273984,9273902,1,
124,124,,,9273837,9273903,1,
124,124,,,9273839,9273905,1,
124,124,,,9273951,9273906,1,
124,124,,,9273841,9273907,1,
124,124,,,9273843,9273909,1,
124,124,,,9273953,9273910,1,
124,124,,,9273845,9273911,1,
124,124,,,9273847,9273913,1,
124,124,,,9273955,9273914,1,
131,131,,,9273972,9273914,1,
140,140,,,9273986,9273914,1,
124,124,,,9273849,9273915,1,
124,124,,,9273957,9273917,1,
124,124,,,9273851,9273918,1,
124,124,,,9273959,9273920,1,
124,124,,,9273853,9273921,1,
124,124,,,9273961,9273922,1,
140,140,,,9273988,9273922,1,
124,124,,,9273856,9273923,1,
131,131,,,9273975,9273923,1,
124,124,,,9273863,9273926,1,
124,124,,,9273865,9273928,1,
124,124,,,9273867,9273930,1,
124,124,,,9273869,9273932,1,
124,124,,,9273872,9273934,1,
124,124,,,9273875,9273936,1,
124,124,,,9273879,9273938,1,
124,124,,,9273883,9273940,1,
124,124,,,9273887,9273942,1,
124,124,,,9273891,9273944,1,
124,124,,,9273895,9273946,1,
124,124,,,9273899,9273948,1,
124,124,,,9273903,9273950,1,
124,124,,,9273907,9273952,1,
124,124,,,9273911,9273954,1,
124,124,,,9273915,9273956,1,
124,124,,,9273918,9273958,1,
124,124,,,9273924,9273962,1,
131,131,,,9273867,9273964,1,
131,131,,,9273875,9273966,1,
131,131,,,9273887,9273968,1,
131,131,,,9273899,9273970,1,
131,131,,,9273915,9273973,1,
140,140,,,9273865,9273977,1,
140,140,,,9273872,9273979,1,
140,140,,,9273883,9273981,1,
140,140,,,9273895,9273983,1,
140,140,,,9273899,9273985,1,
140,140,,,9273907,9273985,1,
140,140,,,9273918,9273987,1,
27,27,,,9274082,9274017,1,
33,33,,,9274082,9274017,1,
27,27,,,9274084,9274019,1,
33,33,,,9274084,9274019,1,
27,27,,,9274086,9274021,1,
33,33,,,9274086,9274021,1,
27,27,,,9274088,9274024,1,
33,33,,,9274088,9274024,1,
27,27,,,9274090,9274027,1,
33,33,,,9274090,9274027,1,
27,27,,,9274093,9274031,1,
33,33,,,9274093,9274031,1,
27,27,,,9274095,9274035,1,
33,33,,,9274095,9274035,1,
27,27,,,9274097,9274039,1,
33,33,,,9274097,9274039,1,
27,27,,,9274099,9274043,1,
33,33,,,9274099,9274043,1,
27,27,,,9274101,9274047,1,
33,33,,,9274101,9274047,1,
27,27,,,9274105,9274051,1,
33,33,,,9274105,9274051,1,
27,27,,,9274108,9274055,1,
33,33,,,9274108,9274055,1,
27,27,,,9274110,9274059,1,
33,33,,,9274110,9274059,1,
27,27,,,9274112,9274063,1,
33,33,,,9274112,9274063,1,
27,27,,,9274114,9274067,1,
33,33,,,9274114,9274067,1,
27,27,,,9274116,9274069,1,
33,33,,,9274116,9274069,1,
18,18,,,9274118,9274072,1,
27,27,,,9274118,9274072,1,
33,33,,,9274118,9274072,1,
33,33,,,9274013,9274078,1,
27,27,,,9274015,9274080,1,
33,33,,,9274015,9274080,1,
27,27,,,9274016,9274081,1,
33,33,,,9274016,9274081,1,
27,27,,,9274018,9274083,1,
33,33,,,9274018,9274083,1,
27,27,,,9274020,9274085,1,
33,33,,,9274020,9274085,1,
27,27,,,9274023,9274087,1,
33,33,,,9274023,9274087,1,
27,27,,,9274026,9274089,1,
33,33,,,9274026,9274089,1,
27,27,,,9274030,9274092,1,
33,33,,,9274030,9274092,1,
27,27,,,9274034,9274094,1,
33,33,,,9274034,9274094,1,
27,27,,,9274038,9274096,1,
33,33,,,9274038,9274096,1,
27,27,,,9274042,9274098,1,
33,33,,,9274042,9274098,1,
27,27,,,9274046,9274100,1,
33,33,,,9274046,9274100,1,
27,27,,,9274048,9274102,1,
33,33,,,9274048,9274102,1,
27,27,,,9274050,9274104,1,
33,33,,,9274050,9274104,1,
27,27,,,9274052,9274106,1,
33,33,,,9274052,9274106,1,
27,27,,,9274054,9274107,1,
33,33,,,9274054,9274107,1,
27,27,,,9274058,9274109,1,
33,33,,,9274058,9274109,1,
27,27,,,9274062,9274111,1,
33,33,,,9274062,9274111,1,
27,27,,,9274066,9274113,1,
33,33,,,9274066,9274113,1,
27,27,,,9274068,9274115,1,
33,33,,,9274068,9274115,1,
18,18,,,9274071,9274117,1,
27,27,,,9274071,9274117,1,
33,33,,,9274071,9274117,1,
33,33,,,9274072,9274119,1,
18,18,,,9274074,9274120,1,
27,27,,,9274074,9274120,1,
33,33,,,9274074,9274120,1,
33,33,,,9274075,9274121,1,
74,74,,,9274187,9274146,1,
74,74,,,9274189,9274147,1,
74,74,,,9274191,9274149,1,
74,74,,,9274193,9274151,1,
74,74,,,9274199,9274155,1,
74,74,,,9274232,9274182,1,
94,94,,,9274238,9274191,1,
74,74,,,9274150,9274192,1,
94,94,,,9274237,9274192,1,
74,74,,,9274152,9274194,1,
94,94,,,9274240,9274196,1,
74,74,,,9274154,9274197,1,
94,94,,,9274239,9274197,1,
74,74,,,9274156,9274200,1,
94,94,,,9274242,9274202,1,
74,74,,,9274158,9274203,1,
94,94,,,9274241,9274203,1,
74,74,,,9274160,9274206,1,
74,74,,,9274162,9274208,1,
94,94,,,9274243,9274208,1,
74,74,,,9274164,9274210,1,
94,94,,,9274245,9274212,1,
74,74,,,9274168,9274215,1,
74,74,,,9274183,9274233,1,
94,94,,,9274190,9274237,1,
94,94,,,9274200,9274241,1,
94,94,,,9274206,9274243,1,
94,94,,,9274210,9274245,1,
94,94,,,9274215,9274247,1,
94,94,,,9274221,9274249,1,
94,94,,,9274226,9274251,1,
94,94,,,9274232,9274254,1,
112,112,,,9281947,9281895,1,
124,124,,,9282023,9281911,1,
124,124,,,9282026,9281915,1,
124,124,,,9282001,9281923,1,
124,124,,,9282033,9281923,1,
124,124,,,9282164,9281927,1,
124,124,,,9282164,9281932,1,
116,116,,,9281940,9281942,1,
124,124,,,9281940,9281942,1,
124,124,,,9282170,9281944,1,
116,116,,,9282055,9281947,1,
124,124,,,9282055,9281947,1,
124,124,,,9282057,9281947,1,
124,124,,,9282059,9281949,1,
116,116,,,9282013,9281952,1,
124,124,,,9282013,9281952,1,
124,124,,,9282062,9281952,1,
124,124,,,9282065,9281953,1,
124,124,,,9282066,9281954,1,
112,112,,,9281899,9281955,1,
124,124,,,9282068,9281956,1,
124,124,,,9282070,9281957,1,
124,124,,,9282073,9281960,1,
124,124,,,9282077,9281964,1,
124,124,,,9282079,9281966,1,
116,116,,,9282081,9281968,1,
124,124,,,9282081,9281968,1,
112,112,,,9281905,9281970,1,
124,124,,,9282083,9281971,1,
124,124,,,9282085,9281972,1,
116,116,,,9282087,9281974,1,
124,124,,,9282087,9281974,1,
116,116,,,9282091,9281977,1,
124,124,,,9282091,9281977,1,
116,116,,,9282092,9281978,1,
124,124,,,9282092,9281978,1,
124,124,,,9282094,9281980,1,
124,124,,,9282097,9281984,1,
124,124,,,9282187,9281986,1,
124,124,,,9282100,9281988,1,
124,124,,,9282103,9281992,1,
124,124,,,9282104,9281994,1,
124,124,,,9282105,9281995,1,
124,124,,,9282031,9281999,1,
116,116,,,9282032,9282003,1,
124,124,,,9282032,9282003,1,
124,124,,,9282038,9282005,1,
124,124,,,9282171,9282011,1,
131,131,,,9282171,9282011,1,
124,124,,,9282062,9282013,1,
131,131,,,9282062,9282013,1,
124,124,,,9282133,9282013,1,
116,116,,,9282089,9282021,1,
124,124,,,9282089,9282021,1,
124,124,,,9282104,9282023,1,
131,131,,,9282104,9282023,1,
131,131,,,9282190,9282023,1,
124,124,,,9281914,9282025,1,
116,116,,,9281997,9282027,1,
124,124,,,9281997,9282027,1,
116,116,,,9281918,9282028,1,
124,124,,,9281918,9282028,1,
116,116,,,9281920,9282030,1,
124,124,,,9281920,9282030,1,
124,124,,,9281922,9282034,1,
116,116,,,9281924,9282036,1,
124,124,,,9281924,9282036,1,
124,124,,,9281926,9282037,1,
124,124,,,9281930,9282039,1,
124,124,,,9281933,9282041,1,
124,124,,,9281934,9282043,1,
124,124,,,9282167,9282044,1,
131,131,,,9282167,9282044,1,
124,124,,,9282195,9282044,1,
140,140,,,9282195,9282044,1,
124,124,,,9281936,9282045,1,
124,124,,,9281939,9282048,1,
116,116,,,9281940,9282049,1,
124,124,,,9281940,9282049,1,
124,124,,,9281941,9282050,1,
140,140,,,9282197,9282051,1,
124,124,,,9281943,9282052,1,
140,140,,,9282197,9282053,1,
124,124,,,9281945,9282054,1,
124,124,,,9281946,9282056,1,
116,116,,,9281948,9282058,1,
124,124,,,9281948,9282058,1,
116,116,,,9281950,9282060,1,
124,124,,,9281950,9282060,1,
108,108,,,9281897,9282061,1,
131,131,,,9282176,9282065,1,
124,124,,,9282136,9282066,1,
124,124,,,9281951,9282067,1,
124,124,,,9282138,9282070,1,
131,131,,,9282177,9282070,1,
124,124,,,9282140,9282073,1,
131,131,,,9282179,9282075,1,
124,124,,,9281959,9282076,1,
124,124,,,9282142,9282077,1,
124,124,,,9282143,9282079,1,
131,131,,,9282180,9282079,1,
124,124,,,9281961,9282080,1,
124,124,,,9282146,9282083,1,
140,140,,,9282201,9282083,1,
131,131,,,9282182,9282085,1,
124,124,,,9281967,9282086,1,
124,124,,,9281970,9282086,1,
124,124,,,9281973,9282088,1,
124,124,,,9281976,9282090,1,
131,131,,,9282184,9282092,1,
140,140,,,9282203,9282092,1,
124,124,,,9281979,9282093,1,
124,124,,,9281981,9282095,1,
124,124,,,9281983,9282096,1,
124,124,,,9282154,9282097,1,
124,124,,,9281985,9282098,1,
124,124,,,9281987,9282099,1,
140,140,,,9282205,9282100,1,
124,124,,,9281989,9282101,1,
124,124,,,9281991,9282102,1,
124,124,,,9282159,9282103,1,
124,124,,,9282160,9282104,1,
124,124,,,9281996,9282106,1,
124,124,,,9282162,9282106,1,
124,124,,,9282034,9282117,1,
124,124,,,9282037,9282118,1,
124,124,,,9282039,9282119,1,
124,124,,,9282041,9282121,1,
124,124,,,9282045,9282123,1,
124,124,,,9282048,9282125,1,
124,124,,,9282052,9282127,1,
124,124,,,9282056,9282129,1,
124,124,,,9281961,9282145,1,
124,124,,,9281970,9282147,1,
124,124,,,9282093,9282152,1,
124,124,,,9282096,9282153,1,
124,124,,,9282099,9282156,1,
124,124,,,9282105,9282161,1,
131,131,,,9282028,9282163,1,
131,131,,,9282034,9282165,1,
131,131,,,9282004,9282166,1,
131,131,,,9282041,9282168,1,
131,131,,,9282048,9282169,1,
124,124,,,9282056,9282172,1,
131,131,,,9282056,9282172,1,
124,124,,,9282061,9282174,1,
131,131,,,9282061,9282174,1,
124,124,,,9281961,9282181,1,
131,131,,,9282086,9282183,1,
131,131,,,9282098,9282186,1,
140,140,,,9282028,9282192,1,
140,140,,,9282037,9282193,1,
140,140,,,9282061,9282198,1,
140,140,,,9282064,9282198,1,
140,140,,,9282086,9282202,1,
140,140,,,9282098,9282204,1,
74,74,,,9282580,9282358,1,
74,74,,,9282582,9282359,1,
74,74,,,9282584,9282364,1,
74,74,,,9282833,9282364,1,
74,74,,,9282590,9282366,1,
74,74,,,9282597,9282371,1,
74,74,,,9282599,9282371,1,
74,74,,,9282837,9282371,1,
68,68,,,9282476,9282374,1,
68,68,,,9282489,9282375,1,
68,68,,,9282491,9282377,1,
68,68,,,9282617,9282378,1,
68,68,,,9282621,9282381,1,
74,74,,,9282576,9282394,1,
74,74,,,9282640,9282396,1,
74,74,,,9282643,9282397,1,
62,62,,,9282395,9282398,1,
68,68,,,9282658,9282400,1,
68,68,,,9282661,9282402,1,
20,20,,,9282407,9282408,1,
11,11,,,9282408,9282409,1,
18,18,,,9282408,9282409,1,
20,20,,,9282408,9282409,1,
11,11,,,9282705,9282409,1,
18,18,,,9282705,9282409,1,
18,18,,,9282711,9282410,1,
11,11,,,9282713,9282412,1,
18,18,,,9282713,9282412,1,
20,20,,,9282715,9282413,1,
74,74,,,9282578,9282441,1,
74,74,,,9282584,9282449,1,
74,74,,,9282601,9282476,1,
74,74,,,9282604,9282476,1,
74,74,,,9282608,9282489,1,
74,74,,,9282610,9282491,1,
74,74,,,9282612,9282495,1,
74,74,,,9282615,9282499,1,
74,74,,,9282619,9282504,1,
74,74,,,9282623,9282509,1,
74,74,,,9282626,9282515,1,
74,74,,,9282629,9282517,1,
74,74,,,9282633,9282525,1,
74,74,,,9282635,9282527,1,
74,74,,,9282637,9282530,1,
74,74,,,9282645,9282544,1,
74,74,,,9282647,9282547,1,
74,74,,,9282649,9282550,1,
74,74,,,9282651,9282554,1,
74,74,,,9282654,9282561,1,
74,74,,,9282664,9282568,1,
74,74,,,9282665,9282570,1,
74,74,,,9282666,9282571,1,
74,74,,,9282440,9282577,1,
74,74,,,9282442,9282579,1,
74,74,,,9282444,9282581,1,
62,62,,,9282360,9282583,1,
74,74,,,9282360,9282583,1,
62,62,,,9282362,9282585,1,
74,74,,,9282362,9282585,1,
74,74,,,9282833,9282586,1,
88,88,,,9282833,9282586,1,
94,94,,,9282833,9282586,1,
62,62,,,9282453,9282587,1,
74,74,,,9282453,9282587,1,
74,74,,,9282458,9282589,1,
74,74,,,9282460,9282591,1,
74,74,,,9282462,9282593,1,
74,74,,,9282592,9282594,1,
88,88,,,9282592,9282594,1,
74,74,,,9282469,9282596,1,
74,74,,,9282474,9282598,1,
68,68,,,9282370,9282600,1,
74,74,,,9282479,9282602,1,
68,68,,,9282373,9282605,1,
74,74,,,9282487,9282607,1,
68,68,,,9282376,9282609,1,
74,74,,,9282492,9282611,1,
74,74,,,9282492,9282613,1,
94,94,,,9282843,9282615,1,
74,74,,,9282501,9282616,1,
74,74,,,9282379,9282618,1,
74,74,,,9282380,9282622,1,
94,94,,,9282845,9282623,1,
74,74,,,9282507,9282624,1,
74,74,,,9282382,9282625,1,
74,74,,,9282382,9282627,1,
94,94,,,9282849,9282629,1,
74,74,,,9282385,9282630,1,
74,74,,,9282390,9282636,1,
94,94,,,9282851,9282637,1,
74,74,,,9282390,9282638,1,
74,74,,,9282392,9282639,1,
74,74,,,9282392,9282641,1,
74,74,,,9282534,9282644,1,
94,94,,,9282853,9282645,1,
74,74,,,9282534,9282646,1,
74,74,,,9282398,9282650,1,
74,74,,,9282555,9282652,1,
94,94,,,9282855,9282654,1,
74,74,,,9282562,9282655,1,
68,68,,,9282399,9282657,1,
74,74,,,9282563,9282659,1,
68,68,,,9282401,9282660,1,
94,94,,,9282858,9282661,1,
74,74,,,9282564,9282662,1,
74,74,,,9282567,9282663,1,
94,94,,,9282859,9282664,1,
74,74,,,9282572,9282667,1,
33,33,,,9282768,9282672,1,
33,33,,,9282771,9282676,1,
33,33,,,9282774,9282680,1,
33,33,,,9282776,9282684,1,
33,33,,,9282777,9282694,1,
33,33,,,9282783,9282701,1,
33,33,,,9282786,9282703,1,
33,33,,,9282787,9282703,1,
33,33,,,9282789,9282705,1,
33,33,,,9282791,9282709,1,
33,33,,,9282793,9282711,1,
33,33,,,9282795,9282713,1,
27,27,,,9282796,9282715,1,
33,33,,,9282796,9282715,1,
27,27,,,9282799,9282719,1,
33,33,,,9282799,9282719,1,
27,27,,,9282802,9282723,1,
33,33,,,9282802,9282723,1,
27,27,,,9282805,9282727,1,
33,33,,,9282805,9282727,1,
20,20,,,9282415,9282730,1,
27,27,,,9282807,9282731,1,
33,33,,,9282807,9282731,1,
18,18,,,9282416,9282734,1,
27,27,,,9282810,9282735,1,
33,33,,,9282810,9282735,1,
18,18,,,9282417,9282738,1,
27,27,,,9282812,9282739,1,
33,33,,,9282812,9282739,1,
27,27,,,9282813,9282743,1,
33,33,,,9282813,9282743,1,
27,27,,,9282815,9282745,1,
33,33,,,9282815,9282745,1,
27,27,,,9282817,9282747,1,
33,33,,,9282817,9282747,1,
27,27,,,9282818,9282749,1,
33,33,,,9282818,9282749,1,
27,27,,,9282820,9282751,1,
33,33,,,9282820,9282751,1,
18,18,,,9282822,9282754,1,
27,27,,,9282822,9282754,1,
33,33,,,9282822,9282754,1,
18,18,,,9282824,9282757,1,
27,27,,,9282824,9282757,1,
33,33,,,9282824,9282757,1,
18,18,,,9282826,9282759,1,
27,27,,,9282826,9282759,1,
33,33,,,9282826,9282759,1,
33,33,,,9282827,9282761,1,
33,33,,,9282829,9282763,1,
33,33,,,9282671,9282767,1,
11,11,,,9282673,9282769,1,
18,18,,,9282673,9282769,1,
27,27,,,9282673,9282769,1,
33,33,,,9282673,9282769,1,
11,11,,,9282675,9282770,1,
18,18,,,9282675,9282770,1,
27,27,,,9282675,9282770,1,
33,33,,,9282675,9282770,1,
11,11,,,9282677,9282772,1,
18,18,,,9282677,9282772,1,
27,27,,,9282677,9282772,1,
33,33,,,9282677,9282772,1,
11,11,,,9282679,9282773,1,
18,18,,,9282679,9282773,1,
27,27,,,9282679,9282773,1,
33,33,,,9282679,9282773,1,
27,27,,,9282683,9282775,1,
33,33,,,9282683,9282775,1,
27,27,,,9282687,9282778,1,
33,33,,,9282687,9282778,1,
27,27,,,9282691,9282780,1,
33,33,,,9282691,9282780,1,
27,27,,,9282695,9282781,1,
33,33,,,9282695,9282781,1,
27,27,,,9282698,9282782,1,
33,33,,,9282698,9282782,1,
27,27,,,9282702,9282785,1,
33,33,,,9282702,9282785,1,
27,27,,,9282706,9282788,1,
33,33,,,9282706,9282788,1,
33,33,,,9282708,9282790,1,
33,33,,,9282710,9282792,1,
33,33,,,9282712,9282794,1,
33,33,,,9282716,9282797,1,
33,33,,,9282724,9282803,1,
33,33,,,9282728,9282804,1,
33,33,,,9282730,9282804,1,
33,33,,,9282734,9282809,1,
33,33,,,9282738,9282811,1,
33,33,,,9282744,9282814,1,
33,33,,,9282746,9282816,1,
33,33,,,9282750,9282819,1,
33,33,,,9282752,9282821,1,
33,33,,,9282755,9282823,1,
33,33,,,9282758,9282825,1,
18,18,,,9282762,9282828,1,
27,27,,,9282762,9282828,1,
33,33,,,9282762,9282828,1,
33,33,,,9282765,9282831,1,
94,94,,,9282577,9282832,1,
94,94,,,9282585,9282834,1,
94,94,,,9282593,9282836,1,
