shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
BX010026,40.809663,-73.928240,10001
BX010026,40.809620,-73.928135,10002
BX010026,40.810075,-73.927781,10003
BX010026,40.810130,-73.927698,10004
BX010026,40.810860,-73.927191,10005
BX010026,40.810970,-73.927140,10006
BX010026,40.811035,-73.927223,10007
BX010026,40.811104,-73.927310,10008
BX010026,40.811725,-73.928126,10009
BX010026,40.812035,-73.928541,10010
BX010026,40.812338,-73.928949,10011
BX010026,40.812620,-73.929328,10012
BX010026,40.812722,-73.929458,10013
BX010026,40.812733,-73.929476,10014
BX010026,40.812815,-73.929515,10015
BX010026,40.812840,-73.929544,10016
BX010026,40.812912,-73.929631,10017
BX010026,40.813090,-73.929844,10018
BX010026,40.813521,-73.929548,10019
BX010026,40.813521,-73.929548,20001
BX010026,40.814234,-73.929059,20002
BX010026,40.814418,-73.928990,20003
BX010026,40.814863,-73.928787,20004
BX010026,40.816514,-73.928149,20005
BX010026,40.816819,-73.928027,20006
BX010026,40.816819,-73.928027,30001
BX010026,40.817198,-73.927874,30002
BX010026,40.817568,-73.927700,30003
BX010026,40.817631,-73.927668,30004
BX010026,40.818539,-73.927240,30005
BX010026,40.818868,-73.927085,30006
BX010026,40.818868,-73.927085,40001
BX010026,40.819459,-73.926806,40002
BX010026,40.819983,-73.926560,40003
BX010026,40.820543,-73.926266,40004
BX010026,40.820724,-73.926107,40005
BX010026,40.820776,-73.926053,40006
BX010026,40.821095,-73.925696,40007
BX010026,40.821095,-73.925696,50001
BX010026,40.821135,-73.925651,50002
BX010026,40.821352,-73.925434,50003
BX010026,40.821590,-73.925261,50004
BX010026,40.822123,-73.924931,50005
BX010026,40.822959,-73.924511,50006
BX010026,40.823226,-73.924406,50007
BX010026,40.823434,-73.924370,50008
BX010026,40.823690,-73.924323,50009
BX010026,40.823690,-73.924323,60001
BX010026,40.823846,-73.924294,60002
BX010026,40.824016,-73.924221,60003
BX010026,40.825391,-73.923399,60004
BX010026,40.826076,-73.922987,60005
BX010026,40.826428,-73.922766,60006
BX010026,40.826454,-73.922753,60007
BX010026,40.826454,-73.922753,70001
BX010026,40.826716,-73.922632,70002
BX010026,40.826875,-73.922567,70003
BX010026,40.826927,-73.922491,70004
BX010026,40.826954,-73.922447,70005
BX010026,40.827662,-73.922056,70006
BX010026,40.827860,-73.921947,70007
BX010026,40.828538,-73.921571,70008
BX010026,40.828856,-73.921394,70009
BX010026,40.828856,-73.921394,80001
BX010026,40.829569,-73.920999,80002
BX010026,40.830853,-73.920289,80003
BX010026,40.831309,-73.920035,80004
BX010026,40.831344,-73.920014,80005
BX010026,40.831344,-73.920014,90001
BX010026,40.831887,-73.919681,90002
BX010026,40.832431,-73.919326,90003
BX010026,40.833026,-73.918848,90004
BX010026,40.833304,-73.918610,90005
BX010026,40.833304,-73.918610,100001
BX010026,40.833575,-73.918378,100002
BX010026,40.834386,-73.917593,100003
BX010026,40.834526,-73.917459,100004
BX010026,40.834796,-73.917196,100005
BX010026,40.834796,-73.917196,110001
BX010026,40.835138,-73.916862,110002
BX010026,40.835717,-73.916294,110003
BX010026,40.836326,-73.915696,110004
BX010026,40.836601,-73.915428,110005
BX010026,40.836601,-73.915428,120001
BX010026,40.837445,-73.914604,120002
BX010026,40.837971,-73.914130,120003
BX010026,40.838320,-73.913840,120004
BX010026,40.838586,-73.913659,120005
BX010026,40.838739,-73.913550,120006
BX010026,40.839020,-73.913366,120007
BX010026,40.839020,-73.913366,130001
BX010026,40.839154,-73.913279,130002
BX010026,40.839752,-73.912964,130003
BX010026,40.840122,-73.912793,130004
BX010026,40.840879,-73.912510,130005
BX010026,40.841159,-73.912417,130006
BX010026,40.841159,-73.912417,140001
BX010026,40.842468,-73.911981,140002
BX010026,40.842957,-73.911817,140003
BX010026,40.843182,-73.911741,140004
BX010026,40.843525,-73.911625,140005
BX010026,40.843525,-73.911625,150001
BX010026,40.843881,-73.911505,150002
BX010026,40.844290,-73.911367,150003
BX010026,40.844751,-73.911114,150004
BX010026,40.845020,-73.910911,150005
BX010026,40.845211,-73.910727,150006
BX010026,40.845211,-73.910727,160001
BX010026,40.845382,-73.910563,160002
BX010026,40.846035,-73.909666,160003
BX010026,40.846416,-73.909124,160004
BX010026,40.846780,-73.908607,160005
BX010026,40.846780,-73.908607,170001
BX010026,40.846827,-73.908541,170002
BX010026,40.847016,-73.908281,170003
BX010026,40.847172,-73.908078,170004
BX010026,40.847474,-73.907687,170005
BX010026,40.847776,-73.907340,170006
BX010026,40.848168,-73.906909,170007
BX010026,40.848500,-73.906576,170008
BX010026,40.849215,-73.905968,170009
BX010026,40.849413,-73.905812,170010
BX010026,40.849413,-73.905812,170011
BX010026,40.849413,-73.905812,180001
BX010026,40.849882,-73.905432,180002
BX010026,40.850491,-73.904940,180003
BX010026,40.850960,-73.904564,180004
BX010026,40.850960,-73.904564,190001
BX010026,40.851061,-73.904483,190002
BX010026,40.851404,-73.904212,190003
BX010026,40.851624,-73.904034,190004
BX010026,40.852119,-73.903634,190005
BX010026,40.852119,-73.903634,200001
BX010026,40.852211,-73.903560,200002
BX010026,40.852386,-73.903415,200003
BX010026,40.852688,-73.903172,200004
BX010026,40.853459,-73.902550,200005
BX010026,40.853750,-73.902313,200006
BX010026,40.853750,-73.902313,210001
BX010026,40.854550,-73.901662,210002
BX010026,40.854970,-73.901318,210003
BX010026,40.855423,-73.900992,210004
BX010026,40.855985,-73.900601,210005
BX010026,40.856276,-73.900422,210006
BX010026,40.856276,-73.900422,220001
BX010026,40.856528,-73.900268,220002
BX010026,40.856802,-73.900105,220003
BX010026,40.857359,-73.899775,220004
BX010026,40.858613,-73.899025,220005
BX010026,40.858900,-73.898858,220006
BX010026,40.858900,-73.898858,230001
BX010026,40.859244,-73.898658,230002
BX010026,40.859757,-73.898379,230003
BX010026,40.860286,-73.898093,230004
BX010026,40.860588,-73.897929,230005
BX010026,40.860588,-73.897929,240001
BX010026,40.861268,-73.897560,240002
BX010026,40.862196,-73.897067,240003
BX010026,40.862456,-73.896904,240004
BX010026,40.863094,-73.896415,240005
BX010026,40.863094,-73.896415,250001
BX010026,40.864160,-73.895600,250002
BX010026,40.865273,-73.894755,250003
BX010026,40.865901,-73.894277,250004
BX010026,40.866066,-73.894150,250005
BX010026,40.866369,-73.893920,250006
BX010026,40.866369,-73.893920,260001
BX010026,40.866381,-73.893911,260002
BX010026,40.867813,-73.892824,260003
BX010026,40.868106,-73.892602,260004
BX010026,40.868106,-73.892602,270001
BX010026,40.868543,-73.892270,270002
BX010026,40.869215,-73.891759,270003
BX010026,40.869426,-73.891592,270004
BX010026,40.869823,-73.891169,270005
BX010026,40.870070,-73.890828,270006
BX010026,40.870281,-73.890459,270007
BX010026,40.870281,-73.890459,280001
BX010026,40.870643,-73.889826,280002
BX010026,40.871388,-73.888552,280003
BX010026,40.871541,-73.888291,280004
BX010026,40.871750,-73.887998,280005
BX010026,40.871934,-73.887799,280006
BX010026,40.872090,-73.887643,280007
BX010026,40.872276,-73.887466,280008
BX010026,40.872314,-73.887441,280009
BX010026,40.872314,-73.887441,290001
BX010026,40.872660,-73.887212,290002
BX010026,40.873319,-73.886900,290003
BX010026,40.873972,-73.886610,290004
BX010026,40.874261,-73.886483,290005
BX010026,40.874261,-73.886483,300001
BX010026,40.874553,-73.886355,300002
BX010026,40.874740,-73.886272,300003
BX010026,40.875343,-73.885993,300004
BX010026,40.875892,-73.885746,300005
BX010026,40.875994,-73.885702,300006
BX010026,40.876144,-73.885637,300007
BX010026,40.876314,-73.885561,300008
BX010026,40.876314,-73.885561,310001
BX010026,40.877017,-73.885245,310002
BX010026,40.877283,-73.885125,310003
BX010026,40.877933,-73.884837,310004
BX010026,40.877933,-73.884837,320001
BX010026,40.878037,-73.884791,320002
BX010026,40.878260,-73.884697,320003
BX010026,40.878394,-73.884772,320004
BX010026,40.878543,-73.884855,320005
BX010026,40.878633,-73.884906,320006
BX010026,40.878872,-73.885050,320007
BX010026,40.879138,-73.885180,320008
BX010026,40.879169,-73.885227,320009
BX010026,40.879207,-73.885288,320010
BX010026,40.879246,-73.885339,320011
BX010026,40.879347,-73.885483,320012
BX010026,40.879446,-73.885591,320013
BX010026,40.879483,-73.885622,320014
BX010026,40.879483,-73.885622,330001
BX010026,40.879564,-73.885689,330002
BX010026,40.879597,-73.885772,330003
BX010026,40.880367,-73.885916,330004
BX010026,40.880367,-73.885916,340001
BX010026,40.880479,-73.885937,340002
BX010026,40.880709,-73.885712,340003
BX010026,40.881420,-73.885964,340004
BX010026,40.882032,-73.886227,340005
BX010026,40.882516,-73.886501,340006
BX010026,40.882711,-73.886595,340007
BX010026,40.882771,-73.886725,340008
BX010026,40.882816,-73.887216,340009
BX010026,40.882918,-73.887694,340010
BX010026,40.882937,-73.887911,340011
BX010026,40.882918,-73.888041,340012
BX010026,40.882833,-73.888598,340013
BX010026,40.882763,-73.889096,340014
BX010026,40.882763,-73.889096,350001
BX010026,40.882583,-73.890374,350002
BX010026,40.882447,-73.891352,350003
BX010026,40.882447,-73.891352,360001
BX010026,40.882414,-73.891593,360002
BX010026,40.882406,-73.891792,360003
BX010026,40.882419,-73.891904,360004
BX010026,40.882672,-73.892511,360005
BX010026,40.882725,-73.892641,360006
BX010026,40.882708,-73.892851,360007
BX010026,40.882711,-73.893108,360008
BX010026,40.882779,-73.893382,360009
BX010026,40.882779,-73.893382,370001
BX010026,40.882822,-73.893556,370002
BX010026,40.882959,-73.893823,370003
BX010026,40.883012,-73.894095,370004
BX010026,40.882995,-73.894312,370005
BX010026,40.882921,-73.894536,370006
BX010026,40.882812,-73.894775,370007
BX010026,40.882639,-73.895143,370008
BX010026,40.882639,-73.895143,380001
BX010026,40.882576,-73.895278,380002
BX010026,40.882190,-73.895984,380003
BX010026,40.882017,-73.896208,380004
BX010026,40.881913,-73.896309,380005
BX010026,40.881820,-73.896375,380006
BX010026,40.881578,-73.896502,380007
BX010026,40.881249,-73.896571,380008
BX010026,40.880920,-73.896605,380009
BX010026,40.880920,-73.896605,390001
BX010026,40.880689,-73.896630,390002
BX010026,40.880096,-73.896717,390003
BX010026,40.879844,-73.896819,390004
BX010026,40.879334,-73.897171,390005
BX010026,40.878900,-73.897526,390006
BX010026,40.878744,-73.897739,390007
BX010026,40.878634,-73.897881,390008
BX010026,40.878634,-73.897881,400001
BX010026,40.878484,-73.898076,400002
BX010026,40.878509,-73.898524,400003
BX010026,40.878512,-73.898600,400004
BX010026,40.878514,-73.898741,400005
BX010026,40.878570,-73.898980,400006
BX010026,40.878718,-73.899432,400007
BX010026,40.878754,-73.899616,400008
BX010026,40.878738,-73.900061,400009
BX010026,40.878691,-73.900336,400010
BX010026,40.878615,-73.900567,400011
BX010026,40.878502,-73.900795,400012
BX010026,40.878363,-73.900994,400013
BX010026,40.878110,-73.901241,400014
BX010026,40.878099,-73.901251,400015
BX010026,40.877864,-73.901471,400016
BX010026,40.877864,-73.901471,410001
BX010026,40.876657,-73.902595,410002
BX010026,40.876583,-73.902646,410003
BX010026,40.876649,-73.902863,410004
BX010026,40.876800,-73.903232,410005
BX010026,40.876800,-73.903232,420001
BX010026,40.876806,-73.903246,420002
BX010026,40.876877,-73.903390,420003
BX010026,40.876915,-73.903358,420004
BX010026,40.878021,-73.902405,420005
BX010026,40.878171,-73.902808,420006
BX010026,40.878171,-73.902808,430001
BX010026,40.878466,-73.903601,430002
BX010026,40.878475,-73.903619,430003
BX010026,40.878530,-73.903771,430004
BX010026,40.878876,-73.904686,430005
BX010026,40.878923,-73.904787,430006
BX010026,40.879006,-73.904967,430007
BX010026,40.879228,-73.905418,430008
BX010026,40.879228,-73.905418,440001
BX010026,40.879415,-73.905795,440002
BX010026,40.879806,-73.906576,440003
BX010026,40.879997,-73.906920,440004
BX010026,40.879997,-73.906920,450001
BX010026,40.880396,-73.907638,450002
BX010026,40.880817,-73.908400,450003
BX010026,40.881009,-73.908740,450004
BX010027,40.809663,-73.928240,10001
BX010027,40.809620,-73.928135,10002
BX010027,40.810075,-73.927781,10003
BX010027,40.810130,-73.927698,10004
BX010027,40.810860,-73.927191,10005
BX010027,40.810970,-73.927140,10006
BX010027,40.811035,-73.927223,10007
BX010027,40.811104,-73.927310,10008
BX010027,40.811725,-73.928126,10009
BX010027,40.812035,-73.928541,10010
BX010027,40.812338,-73.928949,10011
BX010027,40.812620,-73.929328,10012
BX010027,40.812722,-73.929458,10013
BX010027,40.812733,-73.929476,10014
BX010027,40.812815,-73.929515,10015
BX010027,40.812840,-73.929544,10016
BX010027,40.812912,-73.929631,10017
BX010027,40.813090,-73.929844,10018
BX010027,40.813521,-73.929548,10019
BX010027,40.813521,-73.929548,20001
BX010027,40.814234,-73.929059,20002
BX010027,40.814418,-73.928990,20003
BX010027,40.814863,-73.928787,20004
BX010027,40.816514,-73.928149,20005
BX010027,40.817198,-73.927874,20006
BX010027,40.817568,-73.927700,20007
BX010027,40.817631,-73.927668,20008
BX010027,40.818539,-73.927240,20009
BX010027,40.818868,-73.927085,20010
BX010027,40.818868,-73.927085,30001
BX010027,40.819459,-73.926806,30002
BX010027,40.819983,-73.926560,30003
BX010027,40.820543,-73.926266,30004
BX010027,40.820724,-73.926107,30005
BX010027,40.820776,-73.926053,30006
BX010027,40.821135,-73.925651,30007
BX010027,40.821352,-73.925434,30008
BX010027,40.821590,-73.925261,30009
BX010027,40.822123,-73.924931,30010
BX010027,40.822959,-73.924511,30011
BX010027,40.823226,-73.924406,30012
BX010027,40.823434,-73.924370,30013
BX010027,40.823846,-73.924294,30014
BX010027,40.824016,-73.924221,30015
BX010027,40.825391,-73.923399,30016
BX010027,40.826076,-73.922987,30017
BX010027,40.826428,-73.922766,30018
BX010027,40.826454,-73.922753,30019
BX010027,40.826454,-73.922753,40001
BX010027,40.826716,-73.922632,40002
BX010027,40.826875,-73.922567,40003
BX010027,40.826927,-73.922491,40004
BX010027,40.826954,-73.922447,40005
BX010027,40.827662,-73.922056,40006
BX010027,40.827860,-73.921947,40007
BX010027,40.828538,-73.921571,40008
BX010027,40.829569,-73.920999,40009
BX010027,40.830853,-73.920289,40010
BX010027,40.831309,-73.920035,40011
BX010027,40.831344,-73.920014,40012
BX010027,40.831344,-73.920014,50001
BX010027,40.831887,-73.919681,50002
BX010027,40.832431,-73.919326,50003
BX010027,40.833026,-73.918848,50004
BX010027,40.833575,-73.918378,50005
BX010027,40.834386,-73.917593,50006
BX010027,40.834526,-73.917459,50007
BX010027,40.834796,-73.917196,50008
BX010027,40.834796,-73.917196,60001
BX010027,40.835138,-73.916862,60002
BX010027,40.835717,-73.916294,60003
BX010027,40.836326,-73.915696,60004
BX010027,40.837445,-73.914604,60005
BX010027,40.837971,-73.914130,60006
BX010027,40.838320,-73.913840,60007
BX010027,40.838586,-73.913659,60008
BX010027,40.838739,-73.913550,60009
BX010027,40.839020,-73.913366,60010
BX010027,40.839020,-73.913366,70001
BX010027,40.839154,-73.913279,70002
BX010027,40.839752,-73.912964,70003
BX010027,40.840122,-73.912793,70004
BX010027,40.840879,-73.912510,70005
BX010027,40.842468,-73.911981,70006
BX010027,40.842957,-73.911817,70007
BX010027,40.843182,-73.911741,70008
BX010027,40.843525,-73.911625,70009
BX010027,40.843525,-73.911625,80001
BX010027,40.843881,-73.911505,80002
BX010027,40.844290,-73.911367,80003
BX010027,40.844751,-73.911114,80004
BX010027,40.845020,-73.910911,80005
BX010027,40.845382,-73.910563,80006
BX010027,40.846035,-73.909666,80007
BX010027,40.846416,-73.909124,80008
BX010027,40.846827,-73.908541,80009
BX010027,40.847016,-73.908281,80010
BX010027,40.847172,-73.908078,80011
BX010027,40.847474,-73.907687,80012
BX010027,40.847776,-73.907340,80013
BX010027,40.848168,-73.906909,80014
BX010027,40.848500,-73.906576,80015
BX010027,40.849215,-73.905968,80016
BX010027,40.849413,-73.905812,80017
BX010027,40.849413,-73.905812,80018
BX010027,40.849413,-73.905812,90001
BX010027,40.849882,-73.905432,90002
BX010027,40.850491,-73.904940,90003
BX010027,40.851061,-73.904483,90004
BX010027,40.851404,-73.904212,90005
BX010027,40.851624,-73.904034,90006
BX010027,40.852119,-73.903634,90007
BX010027,40.852119,-73.903634,100001
BX010027,40.852211,-73.903560,100002
BX010027,40.852386,-73.903415,100003
BX010027,40.852688,-73.903172,100004
BX010027,40.853459,-73.902550,100005
BX010027,40.854550,-73.901662,100006
BX010027,40.854970,-73.901318,100007
BX010027,40.855423,-73.900992,100008
BX010027,40.855985,-73.900601,100009
BX010027,40.856528,-73.900268,100010
BX010027,40.856802,-73.900105,100011
BX010027,40.857359,-73.899775,100012
BX010027,40.858613,-73.899025,100013
BX010027,40.859244,-73.898658,100014
BX010027,40.859757,-73.898379,100015
BX010027,40.860286,-73.898093,100016
BX010027,40.861268,-73.897560,100017
BX010027,40.862196,-73.897067,100018
BX010027,40.862456,-73.896904,100019
BX010027,40.863094,-73.896415,100020
BX010027,40.863094,-73.896415,110001
BX010027,40.864160,-73.895600,110002
BX010027,40.865273,-73.894755,110003
BX010027,40.865901,-73.894277,110004
BX010027,40.866066,-73.894150,110005
BX010027,40.866369,-73.893920,110006
BX010027,40.866369,-73.893920,120001
BX010027,40.866381,-73.893911,120002
BX010027,40.867813,-73.892824,120003
BX010027,40.868543,-73.892270,120004
BX010027,40.869215,-73.891759,120005
BX010027,40.869426,-73.891592,120006
BX010027,40.869823,-73.891169,120007
BX010027,40.870070,-73.890828,120008
BX010027,40.870643,-73.889826,120009
BX010027,40.871388,-73.888552,120010
BX010027,40.871541,-73.888291,120011
BX010027,40.871750,-73.887998,120012
BX010027,40.871934,-73.887799,120013
BX010027,40.872090,-73.887643,120014
BX010027,40.872276,-73.887466,120015
BX010027,40.872314,-73.887441,120016
BX010027,40.872314,-73.887441,130001
BX010027,40.872660,-73.887212,130002
BX010027,40.873319,-73.886900,130003
BX010027,40.873972,-73.886610,130004
BX010027,40.874553,-73.886355,130005
BX010027,40.874740,-73.886272,130006
BX010027,40.875343,-73.885993,130007
BX010027,40.875892,-73.885746,130008
BX010027,40.875994,-73.885702,130009
BX010027,40.876144,-73.885637,130010
BX010027,40.877017,-73.885245,130011
BX010027,40.877283,-73.885125,130012
BX010027,40.878037,-73.884791,130013
BX010027,40.878260,-73.884697,130014
BX010027,40.878394,-73.884772,130015
BX010027,40.878543,-73.884855,130016
BX010027,40.878633,-73.884906,130017
BX010027,40.878872,-73.885050,130018
BX010027,40.879138,-73.885180,130019
BX010027,40.879169,-73.885227,130020
BX010027,40.879207,-73.885288,130021
BX010027,40.879246,-73.885339,130022
BX010027,40.879347,-73.885483,130023
BX010027,40.879446,-73.885591,130024
BX010027,40.879483,-73.885622,130025
BX010027,40.879483,-73.885622,140001
BX010027,40.879564,-73.885689,140002
BX010027,40.879597,-73.885772,140003
BX010027,40.880479,-73.885937,140004
BX010027,40.880709,-73.885712,140005
BX010027,40.881420,-73.885964,140006
BX010027,40.882032,-73.886227,140007
BX010027,40.882516,-73.886501,140008
BX010027,40.882711,-73.886595,140009
BX010027,40.882771,-73.886725,140010
BX010027,40.882816,-73.887216,140011
BX010027,40.882918,-73.887694,140012
BX010027,40.882937,-73.887911,140013
BX010027,40.882918,-73.888041,140014
BX010027,40.882833,-73.888598,140015
BX010027,40.882763,-73.889096,140016
BX010027,40.882763,-73.889096,150001
BX010027,40.882583,-73.890374,150002
BX010027,40.882447,-73.891352,150003
BX010027,40.882447,-73.891352,160001
BX010027,40.882414,-73.891593,160002
BX010027,40.882406,-73.891792,160003
BX010027,40.882419,-73.891904,160004
BX010027,40.882672,-73.892511,160005
BX010027,40.882725,-73.892641,160006
BX010027,40.882708,-73.892851,160007
BX010027,40.882711,-73.893108,160008
BX010027,40.882779,-73.893382,160009
BX010027,40.882779,-73.893382,170001
BX010027,40.882822,-73.893556,170002
BX010027,40.882959,-73.893823,170003
BX010027,40.883012,-73.894095,170004
BX010027,40.882995,-73.894312,170005
BX010027,40.882921,-73.894536,170006
BX010027,40.882812,-73.894775,170007
BX010027,40.882639,-73.895143,170008
BX010027,40.882639,-73.895143,180001
BX010027,40.882576,-73.895278,180002
BX010027,40.882190,-73.895984,180003
BX010027,40.882017,-73.896208,180004
BX010027,40.881913,-73.896309,180005
BX010027,40.881820,-73.896375,180006
BX010027,40.881578,-73.896502,180007
BX010027,40.881249,-73.896571,180008
BX010027,40.880920,-73.896605,180009
BX010027,40.880920,-73.896605,190001
BX010027,40.880689,-73.896630,190002
BX010027,40.880096,-73.896717,190003
BX010027,40.879844,-73.896819,190004
BX010027,40.879334,-73.897171,190005
BX010027,40.878900,-73.897526,190006
BX010027,40.878744,-73.897739,190007
BX010027,40.878634,-73.897881,190008
BX010027,40.878634,-73.897881,200001
BX010027,40.878484,-73.898076,200002
BX010027,40.878509,-73.898524,200003
BX010027,40.878512,-73.898600,200004
BX010027,40.878514,-73.898741,200005
BX010027,40.878570,-73.898980,200006
BX010027,40.878718,-73.899432,200007
BX010027,40.878754,-73.899616,200008
BX010027,40.878738,-73.900061,200009
BX010027,40.878691,-73.900336,200010
BX010027,40.878615,-73.900567,200011
BX010027,40.878502,-73.900795,200012
BX010027,40.878363,-73.900994,200013
BX010027,40.878110,-73.901241,200014
BX010027,40.878099,-73.901251,200015
BX010027,40.877864,-73.901471,200016
BX010027,40.877864,-73.901471,210001
BX010027,40.876657,-73.902595,210002
BX010027,40.876583,-73.902646,210003
BX010027,40.876649,-73.902863,210004
BX010027,40.876800,-73.903232,210005
BX010027,40.876800,-73.903232,220001
BX010027,40.876806,-73.903246,220002
BX010027,40.876877,-73.903390,220003
BX010027,40.876915,-73.903358,220004
BX010027,40.878021,-73.902405,220005
BX010027,40.878171,-73.902808,220006
BX010027,40.878171,-73.902808,230001
BX010027,40.878466,-73.903601,230002
BX010027,40.878475,-73.903619,230003
BX010027,40.878530,-73.903771,230004
BX010027,40.878876,-73.904686,230005
BX010027,40.878923,-73.904787,230006
BX010027,40.879006,-73.904967,230007
BX010027,40.879228,-73.905418,230008
BX010027,40.879228,-73.905418,240001
BX010027,40.879415,-73.905795,240002
BX010027,40.879806,-73.906576,240003
BX010027,40.879997,-73.906920,240004
BX010027,40.879997,-73.906920,250001
BX010027,40.880396,-73.907638,250002
BX010027,40.880817,-73.908400,250003
BX010027,40.881009,-73.908740,250004
BX010028,40.881223,-73.909390,10001
BX010028,40.881232,-73.909380,10002
BX010028,40.881345,-73.909336,10003
BX010028,40.880817,-73.908400,10004
BX010028,40.880396,-73.907638,10005
BX010028,40.880197,-73.907279,10006
BX010028,40.880197,-73.907279,20001
BX010028,40.879806,-73.906576,20002
BX010028,40.879415,-73.905795,20003
BX010028,40.879006,-73.904967,20004
BX010028,40.878923,-73.904787,20005
BX010028,40.878876,-73.904686,20006
BX010028,40.878758,-73.904374,20007
BX010028,40.878758,-73.904374,30001
BX010028,40.878530,-73.903771,30002
BX010028,40.878475,-73.903619,30003
BX010028,40.878466,-73.903601,30004
BX010028,40.878091,-73.902594,30005
BX010028,40.878091,-73.902594,40001
BX010028,40.878021,-73.902405,40002
BX010028,40.876915,-73.903358,40003
BX010028,40.876877,-73.903390,40004
BX010028,40.876806,-73.903246,40005
BX010028,40.876649,-73.902863,40006
BX010028,40.876583,-73.902646,40007
BX010028,40.876657,-73.902595,40008
BX010028,40.876862,-73.902404,40009
BX010028,40.876862,-73.902404,50001
BX010028,40.878099,-73.901251,50002
BX010028,40.878110,-73.901241,50003
BX010028,40.878348,-73.901008,50004
BX010028,40.878348,-73.901008,60001
BX010028,40.878363,-73.900994,60002
BX010028,40.878502,-73.900795,60003
BX010028,40.878615,-73.900567,60004
BX010028,40.878691,-73.900336,60005
BX010028,40.878738,-73.900061,60006
BX010028,40.878754,-73.899616,60007
BX010028,40.878718,-73.899432,60008
BX010028,40.878570,-73.898980,60009
BX010028,40.878514,-73.898741,60010
BX010028,40.878512,-73.898600,60011
BX010028,40.878509,-73.898524,60012
BX010028,40.878484,-73.898076,60013
BX010028,40.878683,-73.897817,60014
BX010028,40.878683,-73.897817,70001
BX010028,40.878744,-73.897739,70002
BX010028,40.878900,-73.897526,70003
BX010028,40.879334,-73.897171,70004
BX010028,40.879844,-73.896819,70005
BX010028,40.880096,-73.896717,70006
BX010028,40.880689,-73.896630,70007
BX010028,40.881249,-73.896571,70008
BX010028,40.881511,-73.896516,70009
BX010028,40.881511,-73.896516,80001
BX010028,40.881578,-73.896502,80002
BX010028,40.881820,-73.896375,80003
BX010028,40.881913,-73.896309,80004
BX010028,40.882017,-73.896208,80005
BX010028,40.882190,-73.895984,80006
BX010028,40.882576,-73.895278,80007
BX010028,40.882812,-73.894775,80008
BX010028,40.882921,-73.894536,80009
BX010028,40.882967,-73.894398,80010
BX010028,40.882967,-73.894398,90001
BX010028,40.882995,-73.894312,90002
BX010028,40.883012,-73.894095,90003
BX010028,40.882959,-73.893823,90004
BX010028,40.882822,-73.893556,90005
BX010028,40.882711,-73.893108,90006
BX010028,40.882708,-73.892851,90007
BX010028,40.882601,-73.892710,90008
BX010028,40.882434,-73.892326,90009
BX010028,40.882434,-73.892326,100001
BX010028,40.882392,-73.892229,100002
BX010028,40.882274,-73.891904,100003
BX010028,40.882260,-73.891756,100004
BX010028,40.882274,-73.891568,100005
BX010028,40.882443,-73.890334,100006
BX010028,40.882595,-73.889325,100007
BX010028,40.882659,-73.888902,100008
BX010028,40.882659,-73.888902,110001
BX010028,40.882696,-73.888649,110002
BX010028,40.882770,-73.888085,110003
BX010028,40.882778,-73.887810,110004
BX010028,40.882750,-73.887632,110005
BX010028,40.882706,-73.887463,110006
BX010028,40.882646,-73.887314,110007
BX010028,40.882511,-73.887123,110008
BX010028,40.882327,-73.886971,110009
BX010028,40.880479,-73.885937,110010
BX010028,40.879597,-73.885772,110011
BX010028,40.879507,-73.885805,110012
BX010028,40.879317,-73.885770,110013
BX010028,40.879317,-73.885770,120001
BX010028,40.879271,-73.885762,120002
BX010028,40.879013,-73.885722,120003
BX010028,40.878939,-73.885683,120004
BX010028,40.878886,-73.885657,120005
BX010028,40.878810,-73.885636,120006
BX010028,40.877972,-73.885482,120007
BX010028,40.877852,-73.885475,120008
BX010028,40.877429,-73.885530,120009
BX010028,40.877283,-73.885537,120010
BX010028,40.876946,-73.885689,120011
BX010028,40.876946,-73.885689,130001
BX010028,40.876079,-73.886078,130002
BX010028,40.875410,-73.886376,130003
BX010028,40.874828,-73.886637,130004
BX010028,40.874641,-73.886724,130005
BX010028,40.872971,-73.887468,130006
BX010028,40.872491,-73.887751,130007
BX010028,40.872312,-73.887907,130008
BX010028,40.872153,-73.888063,130009
BX010028,40.871873,-73.888408,130010
BX010028,40.871873,-73.888408,140001
BX010028,40.871822,-73.888472,140002
BX010028,40.871602,-73.888816,140003
BX010028,40.871496,-73.889000,140004
BX010028,40.870610,-73.890538,140005
BX010028,40.870251,-73.891132,140006
BX010028,40.869939,-73.891555,140007
BX010028,40.869602,-73.891892,140008
BX010028,40.869462,-73.892019,140009
BX010028,40.868927,-73.892425,140010
BX010028,40.867951,-73.893171,140011
BX010028,40.866612,-73.894186,140012
BX010028,40.866228,-73.894479,140013
BX010028,40.866064,-73.894606,140014
BX010028,40.865770,-73.894829,140015
BX010028,40.865770,-73.894829,150001
BX010028,40.865424,-73.895091,150002
BX010028,40.865317,-73.895171,150003
BX010028,40.864289,-73.895954,150004
BX010028,40.862448,-73.897338,150005
BX010028,40.862273,-73.897446,150006
BX010028,40.862213,-73.897478,150007
BX010028,40.862213,-73.897478,160001
BX010028,40.861428,-73.897900,160002
BX010028,40.860385,-73.898458,160003
BX010028,40.859365,-73.899013,160004
BX010028,40.858734,-73.899379,160005
BX010028,40.857478,-73.900122,160006
BX010028,40.856548,-73.900683,160007
BX010028,40.856106,-73.900955,160008
