service_id,date,exception_type
MQ_D8-Sunday,20180903,1
MQ_D8-Sunday,20181122,1
MQ_D8-Sunday,20181225,1
MQ_D8-Sunday,20190101,1
MQ_D8-Weekday-SDon,20181008,2
MQ_D8-Weekday-SDon,20181122,2
MQ_D8-Weekday-SDon,20181123,2
MQ_D8-Weekday-SDon,20181224,2
MQ_D8-Weekday-SDon,20181225,2
MQ_D8-Weekday-SDon,20181226,2
MQ_D8-Weekday-SDon,20181227,2
MQ_D8-Weekday-SDon,20181228,2
MQ_D8-Weekday-SDon,20181231,2
MQ_D8-Weekday-SDon,20190101,2
MQ_D8-Weekday-SDon,20180904,2
MQ_D8-Weekday-SDon,20180910,2
MQ_D8-Weekday-SDon,20180911,2
MQ_D8-Weekday-SDon,20180919,2
MQ_D8-Weekday-SDon,20181106,2
MQ_D8-Weekday-SDon,20181112,2
MQ_D8-Weekday,20180904,1
MQ_D8-Weekday,20180910,1
MQ_D8-Weekday,20180911,1
MQ_D8-Weekday,20180919,1
MQ_D8-Weekday,20181106,1
MQ_D8-Weekday,20181112,1
MQ_O8-Weekday,20181009,2
MQ_O8-Weekday,20181010,2
MQ_O8-Weekday,20181011,2
MQ_O8-Weekday,20181012,2
MQ_O8-Weekday,20181015,2
MQ_O8-Weekday,20181016,2
MQ_O8-Weekday,20181017,2
MQ_O8-Weekday,20181018,2
MQ_O8-Weekday,20181019,2
MQ_O8-Weekday,20181022,2
MQ_O8-Weekday,20181023,2
MQ_O8-Weekday,20181024,2
MQ_O8-Weekday,20181025,2
MQ_O8-Weekday,20181026,2
MQ_O8-Weekday,20181029,2
MQ_O8-Weekday,20181030,2
MQ_O8-Weekday,20181031,2
MQ_O8-Weekday,20181101,2
MQ_O8-Weekday,20181102,2
MQ_O8-Weekday,20181105,2
MQ_O8-Weekday,20181106,2
MQ_O8-Weekday,20181107,2
MQ_O8-Weekday,20181108,2
MQ_O8-Weekday,20181109,2
MQ_O8-Weekday,20181112,2
MQ_O8-Weekday,20181113,2
MQ_O8-Weekday,20181114,2
MQ_O8-Weekday,20181115,2
MQ_O8-Weekday,20181116,2
MQ_O8-Weekday,20181119,2
MQ_O8-Weekday,20181120,2
MQ_O8-Weekday,20181121,2
MQ_O8-Weekday,20181122,2
MQ_O8-Weekday,20181126,2
MQ_O8-Weekday,20181127,2
MQ_O8-Weekday,20181128,2
MQ_O8-Weekday,20181129,2
MQ_O8-Weekday,20181130,2
MQ_O8-Weekday,20181203,2
MQ_O8-Weekday,20181204,2
MQ_O8-Weekday,20181205,2
MQ_O8-Weekday,20181206,2
MQ_O8-Weekday,20181207,2
MQ_O8-Weekday,20181210,2
MQ_O8-Weekday,20181211,2
MQ_O8-Weekday,20181212,2
MQ_O8-Weekday,20181213,2
MQ_O8-Weekday,20181214,2
MQ_O8-Weekday,20181217,2
MQ_O8-Weekday,20181218,2
MQ_O8-Weekday,20181219,2
MQ_O8-Weekday,20181220,2
MQ_O8-Weekday,20181221,2
MQ_O8-Weekday,20181225,2
MV_D8-Sunday,20180903,1
MV_D8-Sunday,20181122,1
MV_D8-Sunday,20181225,1
MV_D8-Sunday,20190101,1
MV_D8-Weekday-SDon,20181008,2
MV_D8-Weekday-SDon,20181122,2
MV_D8-Weekday-SDon,20181123,2
MV_D8-Weekday-SDon,20181224,2
MV_D8-Weekday-SDon,20181225,2
MV_D8-Weekday-SDon,20181226,2
MV_D8-Weekday-SDon,20181227,2
MV_D8-Weekday-SDon,20181228,2
MV_D8-Weekday-SDon,20181231,2
MV_D8-Weekday-SDon,20190101,2
MV_D8-Weekday-SDon,20180904,2
MV_D8-Weekday-SDon,20180910,2
MV_D8-Weekday-SDon,20180911,2
MV_D8-Weekday-SDon,20180919,2
MV_D8-Weekday-SDon,20181106,2
MV_D8-Weekday-SDon,20181112,2
MV_D8-Weekday,20180904,1
MV_D8-Weekday,20180910,1
MV_D8-Weekday,20180911,1
MV_D8-Weekday,20180919,1
MV_D8-Weekday,20181106,1
MV_D8-Weekday,20181112,1
MV_O8-Weekday,20181009,2
MV_O8-Weekday,20181010,2
MV_O8-Weekday,20181011,2
MV_O8-Weekday,20181012,2
MV_O8-Weekday,20181015,2
MV_O8-Weekday,20181016,2
