service_id,date,exception_type
CS_F0-Weekday-SDon,20200406,2
CS_F0-Weekday-SDon-BM,20200405,2
CS_F0-Weekday-SDon,20200407,2
CS_F0-Weekday-SDon-BM,20200406,2
CS_F0-Weekday-SDon,20200408,2
CS_F0-Weekday-SDon-BM,20200407,2
CS_F0-Weekday-SDon,20200409,2
CS_F0-Weekday-SDon-BM,20200408,2
CS_F0-Weekday-SDon,20200410,2
CS_F0-Weekday-SDon-BM,20200409,2
CS_F0-Weekday-SDon,20200413,2
CS_F0-Weekday-SDon-BM,20200412,2
CS_F0-Weekday-SDon,20200414,2
CS_F0-Weekday-SDon-BM,20200413,2
CS_F0-Weekday-SDon,20200415,2
CS_F0-Weekday-SDon-BM,20200414,2
CS_F0-Weekday-SDon,20200416,2
CS_F0-Weekday-SDon-BM,20200415,2
CS_F0-Weekday-SDon,20200417,2
CS_F0-Weekday-SDon-BM,20200416,2
CS_F0-Weekday-SDon,20200420,2
CS_F0-Weekday-SDon-BM,20200419,2
CS_F0-Weekday-SDon,20200421,2
CS_F0-Weekday-SDon-BM,20200420,2
CS_F0-Weekday-SDon,20200422,2
CS_F0-Weekday-SDon-BM,20200421,2
CS_F0-Weekday-SDon,20200423,2
CS_F0-Weekday-SDon-BM,20200422,2
CS_F0-Weekday-SDon,20200424,2
CS_F0-Weekday-SDon-BM,20200423,2
CS_F0-Weekday-SDon,20200427,2
CS_F0-Weekday-SDon-BM,20200426,2
CS_F0-Weekday-SDon,20200428,2
CS_F0-Weekday-SDon-BM,20200427,2
CS_F0-Weekday-SDon,20200429,2
CS_F0-Weekday-SDon-BM,20200428,2
CS_F0-Weekday-SDon,20200430,2
CS_F0-Weekday-SDon-BM,20200429,2
CS_F0-Weekday-SDon,20200501,2
CS_F0-Weekday-SDon-BM,20200430,2
CS_F0-Weekday-SDon,20200504,2
CS_F0-Weekday-SDon-BM,20200503,2
CS_F0-Weekday-SDon,20200505,2
CS_F0-Weekday-SDon-BM,20200504,2
CS_F0-Weekday-SDon,20200506,2
CS_F0-Weekday-SDon-BM,20200505,2
CS_F0-Weekday-SDon,20200507,2
CS_F0-Weekday-SDon-BM,20200506,2
CS_F0-Weekday-SDon,20200508,2
CS_F0-Weekday-SDon-BM,20200507,2
CS_F0-Weekday-SDon,20200511,2
CS_F0-Weekday-SDon-BM,20200510,2
CS_F0-Weekday-SDon,20200512,2
CS_F0-Weekday-SDon-BM,20200511,2
CS_F0-Weekday-SDon,20200513,2
CS_F0-Weekday-SDon-BM,20200512,2
CS_F0-Weekday-SDon,20200514,2
CS_F0-Weekday-SDon-BM,20200513,2
CS_F0-Weekday-SDon,20200515,2
CS_F0-Weekday-SDon-BM,20200514,2
CS_F0-Weekday-SDon,20200518,2
CS_F0-Weekday-SDon-BM,20200517,2
CS_F0-Weekday-SDon,20200519,2
CS_F0-Weekday-SDon-BM,20200518,2
CS_F0-Weekday-SDon,20200520,2
CS_F0-Weekday-SDon-BM,20200519,2
CS_F0-Weekday-SDon,20200521,2
CS_F0-Weekday-SDon-BM,20200520,2
CS_F0-Weekday-SDon,20200522,2
CS_F0-Weekday-SDon-BM,20200521,2
CS_F0-Weekday-SDon,20200525,2
CS_F0-Weekday-SDon-BM,20200524,2
CS_F0-Weekday-SDon,20200526,2
CS_F0-Weekday-SDon-BM,20200525,2
CS_F0-Weekday-SDon,20200527,2
CS_F0-Weekday-SDon-BM,20200526,2
CS_F0-Weekday-SDon,20200528,2
CS_F0-Weekday-SDon-BM,20200527,2
CS_F0-Weekday-SDon,20200529,2
CS_F0-Weekday-SDon-BM,20200528,2
CS_F0-Weekday-SDon,20200601,2
CS_F0-Weekday-SDon-BM,20200531,2
CS_F0-Weekday-SDon,20200602,2
CS_F0-Weekday-SDon-BM,20200601,2
CS_F0-Weekday-SDon,20200603,2
CS_F0-Weekday-SDon-BM,20200602,2
CS_F0-Weekday-SDon,20200604,2
CS_F0-Weekday-SDon-BM,20200603,2
CS_F0-Weekday-SDon,20200605,2
CS_F0-Weekday-SDon-BM,20200604,2
CS_F0-Weekday-SDon,20200608,2
CS_F0-Weekday-SDon-BM,20200607,2
CS_F0-Weekday-SDon,20200609,2
CS_F0-Weekday-SDon-BM,20200608,2
CS_F0-Weekday-SDon,20200610,2
CS_F0-Weekday-SDon-BM,20200609,2
CS_F0-Weekday-SDon,20200611,2
CS_F0-Weekday-SDon-BM,20200610,2
CS_F0-Weekday-SDon,20200612,2
CS_F0-Weekday-SDon-BM,20200611,2
CS_F0-Weekday-SDon,20200615,2
CS_F0-Weekday-SDon-BM,20200614,2
CS_F0-Weekday-SDon,20200616,2
CS_F0-Weekday-SDon-BM,20200615,2
CS_F0-Weekday-SDon,20200617,2
CS_F0-Weekday-SDon-BM,20200616,2
CS_F0-Weekday-SDon,20200618,2
CS_F0-Weekday-SDon-BM,20200617,2
CS_F0-Weekday-SDon,20200619,2
CS_F0-Weekday-SDon-BM,20200618,2
CS_F0-Weekday-SDon,20200622,2
CS_F0-Weekday-SDon-BM,20200621,2
CS_F0-Weekday-SDon,20200623,2
CS_F0-Weekday-SDon-BM,20200622,2
CS_F0-Weekday-SDon,20200624,2
CS_F0-Weekday-SDon-BM,20200623,2
CS_F0-Weekday-SDon,20200625,2
CS_F0-Weekday-SDon-BM,20200624,2
CS_F0-Weekday-SDon,20200626,2
CS_F0-Weekday-SDon-BM,20200625,2
CS_F0-Weekday,20200406,1
CS_F0-Weekday-BM,20200405,1
CS_F0-Weekday,20200407,1
CS_F0-Weekday-BM,20200406,1
CS_F0-Weekday,20200408,1
CS_F0-Weekday-BM,20200407,1
CS_F0-Weekday,20200409,1
